State,},DC,ToCoda,DC.Coda,Coda,Fine,DC.Fine,Segno,DS.Fine,DS,DS.Coda,:|,{,[,],|:,bar,X,ts,bo,&,$,S,L,E,LEND,ND,
I191,.,.,.,r0,.,.,.,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I192,.,.,.,r0,.,.,.,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I193,.,.,.,r0,.,.,.,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I194,.,.,.,.,.,.,.,.,.,.,.,.,.,s284,.,.,.,.,.,.,.,.,.,.,.,.,.,
I195,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s188,s189,.,s190,s191,s192,.,.,.,s285,.,.,
I196,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s287,s288,.,s289,s290,s291,.,.,.,s286,.,.,
I197,.,.,.,.,.,.,.,.,.,.,.,s292,.,.,.,s198,s199,.,s200,s201,s202,.,.,.,s293,.,.,
I198,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s198,s199,.,s200,s201,s202,.,.,.,s294,.,.,
I199,.,.,.,.,.,.,r0,.,.,.,.,r0,.,r0,.,r0,r0,s295,r0,r0,r0,.,.,.,.,.,.,
I200,.,.,.,.,.,.,r0,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I201,.,.,.,.,.,.,r0,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I202,.,.,.,.,.,.,r0,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I203,.,.,.,.,.,.,r0,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I204,.,.,.,.,.,.,.,.,.,.,.,.,.,s296,.,.,.,.,.,.,.,.,.,.,.,.,.,
I205,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s198,s199,.,s200,s201,s202,.,.,.,s297,.,.,
I206,s298,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
I207,.,.,.,.,.,.,.,.,r0,.,.,.,.,.,.,r0s136,r0s137,.,r0s138,r0s139,r0s140,.,.,.,s207,.,.,
I208,.,.,.,.,.,.,.,.,.,.,.,s299,.,s302,.,s209,s210,.,s211,s212,s213,.,.,.,s301,.,s300,
I209,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s209,s210,.,s211,s212,s213,.,.,.,s303,.,.,
I210,.,.,.,.,.,.,.,.,r0,.,.,r0,.,r0,.,r0,r0,s304,r0,r0,r0,.,.,.,.,.,.,
I211,.,.,.,.,.,.,.,.,r0,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I212,.,.,.,.,.,.,.,.,r0,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I213,.,.,.,.,.,.,.,.,r0,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I214,.,.,.,.,.,.,.,.,r0,.,.,.,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I215,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r0,.,.,.,.,.,
I216,.,.,.,.,s305,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
I217,.,.,.,.,.,.,.,.,.,.,r0,.,.,.,.,r0s143,r0s144,.,r0s145,r0s146,r0s147,.,.,.,s217,.,.,
I218,.,.,.,.,.,.,.,.,.,.,.,s306,.,s309,.,s219,s220,.,s221,s222,s223,.,.,.,s308,.,s307,
I219,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s219,s220,.,s221,s222,s223,.,.,.,s310,.,.,
I220,.,.,.,.,.,.,.,.,.,.,r0,r0,.,r0,.,r0,r0,s311,r0,r0,r0,.,.,.,.,.,.,
I221,.,.,.,.,.,.,.,.,.,.,r0,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I222,.,.,.,.,.,.,.,.,.,.,r0,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I223,.,.,.,.,.,.,.,.,.,.,r0,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I224,.,.,.,.,.,.,.,.,.,.,r0,.,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I225,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s313,s314,.,s315,s316,s317,.,.,.,s312,.,.,
I226,.,.,.,.,.,.,.,.,.,.,.,s318,.,.,.,s227,s228,.,s229,s230,s231,.,.,.,s319,.,.,
I227,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s227,s228,.,s229,s230,s231,.,.,.,s320,.,.,
I228,.,.,r0,.,.,r0,.,.,.,r0,.,r0,.,r0,.,r0,r0,s321,r0,r0,r0,.,.,.,.,.,.,
I229,.,.,r0,.,.,r0,.,.,.,r0,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I230,.,.,r0,.,.,r0,.,.,.,r0,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I231,.,.,r0,.,.,r0,.,.,.,r0,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I232,.,.,r0,.,.,r0,.,.,.,r0,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I233,.,.,.,.,.,.,.,.,.,.,.,.,.,s322,.,.,.,.,.,.,.,.,.,.,.,.,.,
I234,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s227,s228,.,s229,s230,s231,.,.,.,s323,.,.,
I235,.,.,.,.,.,.,.,.,.,.,.,s325,.,.,s324,s236,s237,.,s238,s239,s240,.,.,.,s326,.,.,
I236,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s328,s329,.,s330,s331,s332,.,.,.,s327,.,.,
I237,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,s333,r0,r0,r0,.,.,.,.,.,.,
I238,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I239,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I240,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I241,r0,.,.,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I242,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,.,r0s156,r0s157,.,r0s158,r0s159,r0s160,.,.,.,s242,.,.,
I243,.,.,.,.,.,.,.,.,.,.,.,s334,.,s163,.,s156,s157,.,s158,s159,s160,.,.,.,s242,.,s335,
I244,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I245,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s337,s338,.,s339,s340,s341,.,.,.,s336,.,.,
I246,.,.,.,.,.,.,.,.,.,.,.,s342,.,.,.,s156,s157,.,s158,s159,s160,.,.,.,s242,.,.,
I247,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I248,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I249,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0s165,r0s166,.,r0s167,r0s168,r0s169,.,.,.,s249,.,.,
I250,.,.,.,.,.,.,.,.,.,.,.,s343,.,s346,.,s251,s252,.,s253,s254,s255,.,.,.,s345,.,s344,
I251,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s251,s252,.,s253,s254,s255,.,.,.,s347,.,.,
I252,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,s348,r0,r0,r0,.,.,.,.,.,.,
I253,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I254,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I255,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I256,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I257,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I258,.,.,.,.,.,.,.,.,.,.,.,.,.,s349,.,.,.,.,.,.,.,.,.,.,.,.,.,
I259,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s108,s109,.,s110,s111,s112,.,.,.,s350,.,.,
I260,.,.,.,.,.,.,.,.,.,.,.,s352,.,.,s351,s261,s262,.,s263,s264,s265,.,.,.,s353,.,.,
I261,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s355,s356,.,s357,s358,s359,.,.,.,s354,.,.,
I262,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,s360,r0,r0,r0,.,.,.,.,.,.,
I263,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I264,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I265,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I266,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I267,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0s176,r0s177,.,r0s178,r0s179,r0s180,.,.,.,s267,.,.,
I268,.,.,.,.,.,.,.,.,.,.,.,s361,.,s183,.,s176,s177,.,s178,s179,s180,.,.,.,s267,.,s362,
I269,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I270,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s364,s365,.,s366,s367,s368,.,.,.,s363,.,.,
I271,.,.,.,.,.,.,.,.,.,.,.,s369,.,.,.,s176,s177,.,s178,s179,s180,.,.,.,s267,.,.,
I272,.,.,.,.,.,.,.,.,.,.,.,s352,.,.,s370,s261,s262,.,s263,s264,s265,.,.,.,s353,.,.,
I273,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r0,.,.,.,.,.,
I274,.,.,.,.,.,.,.,.,.,.,.,s372,.,.,s371,s275,s276,.,s277,s278,s279,.,.,.,s373,.,.,
I275,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s375,s376,.,s377,s378,s379,.,.,.,s374,.,.,
I276,.,.,.,r0,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,s380,r0,r0,r0,.,.,.,.,.,.,
I277,.,.,.,r0,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I278,.,.,.,r0,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I279,.,.,.,r0,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I280,.,.,.,r0,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I281,.,.,.,r0,.,.,.,.,.,.,.,r0,.,r0,.,r0s188,r0s189,.,r0s190,r0s191,r0s192,.,.,.,s281,.,.,
I282,.,.,.,.,.,.,.,.,.,.,.,s381,.,s195,.,s188,s189,.,s190,s191,s192,.,.,.,s281,.,s382,
I283,.,.,.,r0,.,.,.,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I284,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s384,s385,.,s386,s387,s388,.,.,.,s383,.,.,
I285,.,.,.,.,.,.,.,.,.,.,.,s389,.,.,.,s188,s189,.,s190,s191,s192,.,.,.,s281,.,.,
I286,.,.,.,.,.,.,.,.,.,.,.,s391,.,.,s390,s287,s288,.,s289,s290,s291,.,.,.,s392,.,.,
I287,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s394,s395,.,s396,s397,s398,.,.,.,s393,.,.,
I288,.,.,.,.,.,.,r0,.,.,.,.,r0,.,r0,r0,r0,r0,s399,r0,r0,r0,.,.,.,.,.,.,
I289,.,.,.,.,.,.,r0,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I290,.,.,.,.,.,.,r0,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I291,.,.,.,.,.,.,r0,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I292,.,.,.,.,.,.,r0,.,.,.,.,.,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I293,.,.,.,.,.,.,r0,.,.,.,.,r0,.,r0,.,r0s198,r0s199,.,r0s200,r0s201,r0s202,.,.,.,s293,.,.,
I294,.,.,.,.,.,.,.,.,.,.,.,s400,.,s205,.,s198,s199,.,s200,s201,s202,.,.,.,s293,.,s401,
I295,.,.,.,.,.,.,r0,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I296,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s403,s404,.,s405,s406,s407,.,.,.,s402,.,.,
I297,.,.,.,.,.,.,.,.,.,.,.,s408,.,.,.,s198,s199,.,s200,s201,s202,.,.,.,s293,.,.,
I298,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r0,.,.,.,.,.,
I299,.,.,.,.,.,.,.,.,r0,.,.,.,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I300,.,.,.,.,.,.,.,.,.,.,.,.,.,s409,.,.,.,.,.,.,.,.,.,.,.,.,.,
I301,.,.,.,.,.,.,.,.,r0,.,.,r0,.,r0,.,r0s209,r0s210,.,r0s211,r0s212,r0s213,.,.,.,s301,.,.,
I302,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s411,s412,.,s413,s414,s415,.,.,.,s410,.,.,
I303,.,.,.,.,.,.,.,.,.,.,.,s416,.,s418,.,s209,s210,.,s211,s212,s213,.,.,.,s301,.,s417,
I304,.,.,.,.,.,.,.,.,r0,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I305,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s11,s12,.,s13,s14,s15,.,.,.,s419,.,.,
I306,.,.,.,.,.,.,.,.,.,.,r0,.,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I307,.,.,.,.,.,.,.,.,.,.,.,.,.,s420,.,.,.,.,.,.,.,.,.,.,.,.,.,
I308,.,.,.,.,.,.,.,.,.,.,r0,r0,.,r0,.,r0s219,r0s220,.,r0s221,r0s222,r0s223,.,.,.,s308,.,.,
I309,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s422,s423,.,s424,s425,s426,.,.,.,s421,.,.,
I310,.,.,.,.,.,.,.,.,.,.,.,s427,.,s429,.,s219,s220,.,s221,s222,s223,.,.,.,s308,.,s428,
I311,.,.,.,.,.,.,.,.,.,.,r0,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I312,.,.,.,.,.,.,.,.,.,.,.,s431,.,.,s430,s313,s314,.,s315,s316,s317,.,.,.,s432,.,.,
I313,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s434,s435,.,s436,s437,s438,.,.,.,s433,.,.,
I314,.,.,r0,.,.,r0,.,.,.,r0,.,r0,.,r0,r0,r0,r0,s439,r0,r0,r0,.,.,.,.,.,.,
I315,.,.,r0,.,.,r0,.,.,.,r0,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I316,.,.,r0,.,.,r0,.,.,.,r0,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I317,.,.,r0,.,.,r0,.,.,.,r0,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I318,.,.,r0,.,.,r0,.,.,.,r0,.,.,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I319,.,.,r0,.,.,r0,.,.,.,r0,.,r0,.,r0,.,r0s227,r0s228,.,r0s229,r0s230,r0s231,.,.,.,s319,.,.,
I320,.,.,.,.,.,.,.,.,.,.,.,s440,.,s234,.,s227,s228,.,s229,s230,s231,.,.,.,s319,.,s441,
I321,.,.,r0,.,.,r0,.,.,.,r0,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I322,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s443,s444,.,s445,s446,s447,.,.,.,s442,.,.,
I323,.,.,.,.,.,.,.,.,.,.,.,s448,.,.,.,s227,s228,.,s229,s230,s231,.,.,.,s319,.,.,
I324,r0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I325,r0,.,.,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I326,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,r0s236,r0s237,.,r0s238,r0s239,r0s240,.,.,.,s326,.,.,
I327,.,.,.,.,.,.,.,.,.,.,.,s449,.,s452,.,s328,s329,.,s330,s331,s332,.,.,.,s451,.,s450,
I328,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s328,s329,.,s330,s331,s332,.,.,.,s453,.,.,
I329,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,s454,r0,r0,r0,.,.,.,.,.,.,
I330,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I331,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I332,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I333,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I334,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I335,.,.,.,.,.,.,.,.,.,.,.,.,.,s455,.,.,.,.,.,.,.,.,.,.,.,.,.,
I336,.,.,.,.,.,.,.,.,.,.,.,s457,.,.,s456,s337,s338,.,s339,s340,s341,.,.,.,s458,.,.,
I337,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s328,s329,.,s330,s331,s332,.,.,.,s459,.,.,
I338,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,s460,r0,r0,r0,.,.,.,.,.,.,
I339,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I340,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I341,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I342,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I343,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I344,.,.,.,.,.,.,.,.,.,.,.,.,.,s461,.,.,.,.,.,.,.,.,.,.,.,.,.,
I345,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0s251,r0s252,.,r0s253,r0s254,r0s255,.,.,.,s345,.,.,
I346,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s463,s464,.,s465,s466,s467,.,.,.,s462,.,.,
I347,.,.,.,.,.,.,.,.,.,.,.,s468,.,s470,.,s251,s252,.,s253,s254,s255,.,.,.,s345,.,s469,
I348,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I349,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s472,s473,.,s474,s475,s476,.,.,.,s471,.,.,
I350,.,.,.,.,.,.,.,.,.,.,.,s477,.,.,.,s108,s109,.,s110,s111,s112,.,.,.,s171,.,.,
I351,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I352,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I353,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0s261,r0s262,.,r0s263,r0s264,r0s265,.,.,.,s353,.,.,
I354,.,.,.,.,.,.,.,.,.,.,.,s478,.,s481,.,s355,s356,.,s357,s358,s359,.,.,.,s480,.,s479,
I355,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s355,s356,.,s357,s358,s359,.,.,.,s482,.,.,
I356,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,s483,r0,r0,r0,.,.,.,.,.,.,
I357,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I358,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I359,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I360,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I361,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I362,.,.,.,.,.,.,.,.,.,.,.,.,.,s484,.,.,.,.,.,.,.,.,.,.,.,.,.,
I363,.,.,.,.,.,.,.,.,.,.,.,s486,.,.,s485,s364,s365,.,s366,s367,s368,.,.,.,s487,.,.,
I364,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s355,s356,.,s357,s358,s359,.,.,.,s488,.,.,
I365,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,s489,r0,r0,r0,.,.,.,.,.,.,
I366,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I367,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I368,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I369,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I370,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I371,.,.,.,r0,.,.,.,.,.,.,.,.,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I372,.,.,.,r0,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I373,.,.,.,r0,.,.,.,.,.,.,.,r0,.,r0,r0,r0s275,r0s276,.,r0s277,r0s278,r0s279,.,.,.,s373,.,.,
I374,.,.,.,.,.,.,.,.,.,.,.,s490,.,s493,.,s375,s376,.,s377,s378,s379,.,.,.,s492,.,s491,
I375,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s375,s376,.,s377,s378,s379,.,.,.,s494,.,.,
I376,.,.,.,r0,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,s495,r0,r0,r0,.,.,.,.,.,.,
I377,.,.,.,r0,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
